grid_id,lat,lon,priority,vegetation_class,LST,exclusion_reason
+102208+29171,26.205204310692626,91.81545771693013,Low,vegetated,22.83414216484312,Low priority - no action needed (ML tiering)
+102208+29172,26.206102625976747,91.81545771693013,Low,vegetated,23.26742442044677,Low priority - no action needed (ML tiering)
+102209+29158,26.19352621199907,91.81635603221424,Low,vegetated,25.269225772360432,Low priority - no action needed (ML tiering)
+102209+29159,26.19442452728319,91.81635603221424,Low,vegetated,24.514142988271665,Low priority - no action needed (ML tiering)
+102209+29160,26.195322842567304,91.81635603221424,Low,vegetated,24.86010353949024,Low priority - no action needed (ML tiering)
+102209+29161,26.19622115785143,91.81635603221424,Low,vegetated,24.93985778057653,Low priority - no action needed (ML tiering)
+102209+29162,26.197119473135547,91.81635603221424,Low,vegetated,24.09120597721022,Low priority - no action needed (ML tiering)
+102209+29163,26.198017788419666,91.81635603221424,Low,vegetated,23.429935467877108,Low priority - no action needed (ML tiering)
+102209+29164,26.198916103703784,91.81635603221424,Low,vegetated,23.23594196883252,Low priority - no action needed (ML tiering)
+102209+29165,26.19981441898791,91.81635603221424,Low,vegetated,23.48202327615225,Low priority - no action needed (ML tiering)
+102209+29166,26.200712734272027,91.81635603221424,Low,vegetated,23.19060723508381,Low priority - no action needed (ML tiering)
+102209+29167,26.20161104955614,91.81635603221424,Low,vegetated,22.970804372824528,Low priority - no action needed (ML tiering)
+102209+29168,26.20250936484027,91.81635603221424,Low,vegetated,23.22335470707754,Low priority - no action needed (ML tiering)
+102209+29169,26.203407680124386,91.81635603221424,Low,vegetated,23.22527913349163,Low priority - no action needed (ML tiering)
+102209+29170,26.2043059954085,91.81635603221424,Low,vegetated,23.04602497939088,Low priority - no action needed (ML tiering)
+102209+29171,26.205204310692626,91.81635603221424,Low,vegetated,22.984753280911345,Low priority - no action needed (ML tiering)
+102209+29172,26.206102625976747,91.81635603221424,Low,vegetated,23.547832698479585,Low priority - no action needed (ML tiering)
+102210+29157,26.19262789671495,91.81725434749836,Low,sparse,25.21562118015016,Low priority - no action needed (ML tiering)
+102210+29158,26.19352621199907,91.81725434749836,Low,vegetated,25.044500252193647,Low priority - no action needed (ML tiering)
+102210+29159,26.19442452728319,91.81725434749836,Low,vegetated,24.75133316840086,Low priority - no action needed (ML tiering)
+102210+29160,26.195322842567304,91.81725434749836,Low,vegetated,24.876634511567747,Low priority - no action needed (ML tiering)
+102210+29161,26.19622115785143,91.81725434749836,Low,vegetated,24.82214119656276,Low priority - no action needed (ML tiering)
+102210+29162,26.197119473135547,91.81725434749836,Low,vegetated,24.28792949771999,Low priority - no action needed (ML tiering)
+102210+29163,26.198017788419666,91.81725434749836,Low,vegetated,23.60411962884777,Low priority - no action needed (ML tiering)
+102210+29164,26.198916103703784,91.81725434749836,Low,vegetated,23.229896609311105,Low priority - no action needed (ML tiering)
+102210+29165,26.19981441898791,91.81725434749836,Low,vegetated,23.12751528804819,Low priority - no action needed (ML tiering)
+102210+29166,26.200712734272027,91.81725434749836,Low,vegetated,22.992442632468578,Low priority - no action needed (ML tiering)
+102210+29167,26.20161104955614,91.81725434749836,Low,vegetated,22.96486311543512,Low priority - no action needed (ML tiering)
+102210+29168,26.20250936484027,91.81725434749836,Low,vegetated,23.17095242664109,Low priority - no action needed (ML tiering)
+102210+29169,26.203407680124386,91.81725434749836,Low,vegetated,23.18608050678074,Low priority - no action needed (ML tiering)
+102210+29170,26.2043059954085,91.81725434749836,Low,vegetated,23.28888038156639,Low priority - no action needed (ML tiering)
+102210+29171,26.205204310692626,91.81725434749836,Low,vegetated,23.50656344244065,Low priority - no action needed (ML tiering)
+102211+29155,26.19083126614671,91.81815266278248,Low,sparse,24.786739342788696,Low priority - no action needed (ML tiering)
+102211+29156,26.19172958143083,91.81815266278248,Low,vegetated,25.28488574451884,Low priority - no action needed (ML tiering)
+102211+29157,26.19262789671495,91.81815266278248,Low,vegetated,24.77795393065902,Low priority - no action needed (ML tiering)
+102211+29158,26.19352621199907,91.81815266278248,Low,vegetated,24.61774647702177,Low priority - no action needed (ML tiering)
+102211+29159,26.19442452728319,91.81815266278248,Low,vegetated,24.6376470699268,Low priority - no action needed (ML tiering)
+102211+29160,26.195322842567304,91.81815266278248,Low,vegetated,24.55924474645401,Low priority - no action needed (ML tiering)
+102211+29161,26.19622115785143,91.81815266278248,Low,vegetated,24.251618948815235,Low priority - no action needed (ML tiering)
+102211+29162,26.197119473135547,91.81815266278248,Low,vegetated,23.989534225993733,Low priority - no action needed (ML tiering)
+102211+29163,26.198017788419666,91.81815266278248,Low,vegetated,23.893174187960287,Low priority - no action needed (ML tiering)
+102211+29164,26.198916103703784,91.81815266278248,Low,vegetated,23.72336643464132,Low priority - no action needed (ML tiering)
+102211+29165,26.19981441898791,91.81815266278248,Low,vegetated,23.3823875673745,Low priority - no action needed (ML tiering)
+102211+29166,26.200712734272027,91.81815266278248,Low,vegetated,23.15487412140169,Low priority - no action needed (ML tiering)
+102211+29167,26.20161104955614,91.81815266278248,Low,vegetated,22.94397242414133,Low priority - no action needed (ML tiering)
+102211+29168,26.20250936484027,91.81815266278248,Low,vegetated,22.91165720941425,Low priority - no action needed (ML tiering)
+102211+29169,26.203407680124386,91.81815266278248,Low,vegetated,23.215094676004213,Low priority - no action needed (ML tiering)
