system:index,Heat_Risk,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Vegetation,count,grid_id,.geo
+102203+29147,-0.2613090456831821,26.017451198048203,10.0,26.18364474396873,91.81096614057267,-0.13036790522461564,0.4911269884009107,0.7310090591787914,1,+102203+29147,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.183195586231694],[91.81141529815157,26.183195586231694],[91.81141529815157,26.184093901515812],[91.81051698286745,26.184093901515812],[91.81051698286745,26.183195586231694]]]}"
+102203+29148,0.05815846889032077,26.46266501124653,50.0,26.184543059265085,91.81096614063225,0.05816181333980436,0.20346046048443103,0.02960900427467744,1,+102203+29148,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.184093901515812],[91.81141529815157,26.184093901515812],[91.81141529815157,26.184992216799934],[91.81051698286745,26.184992216799934],[91.81051698286745,26.184093901515812]]]}"
+102203+29149,0.11184872158096297,27.31792040935462,50.0,26.185441374561055,91.81096614045893,0.08536302310540363,0.21085987908722414,0.0,1,+102203+29149,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.184992216799934],[91.81141529815157,26.184992216799934],[91.81141529815157,26.185890532084052],[91.81051698286745,26.185890532084052],[91.81051698286745,26.184992216799934]]]}"
+102203+29150,0.1357321221890107,27.633017615314255,50.0,26.186339689712863,91.81096614050436,0.09667024364428063,0.20948342176200743,0.0,1,+102203+29150,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.185890532084052],[91.81141529815157,26.185890532084052],[91.81141529815157,26.186788847368174],[91.81051698286745,26.186788847368174],[91.81051698286745,26.185890532084052]]]}"
+102203+29151,0.12750712394725564,27.67765953435059,50.0,26.187238005130148,91.81096614054307,0.10153853933350224,0.22089712850635812,0.0,1,+102203+29151,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.186788847368174],[91.81141529815157,26.186788847368174],[91.81141529815157,26.187687162652292],[91.81051698286745,26.187687162652292],[91.81051698286745,26.186788847368174]]]}"
+102203+29152,0.1162422030068343,27.71085328685644,50.0,26.188136320768507,91.81096614034887,0.10282865792941634,0.23453303176862558,0.0,1,+102203+29152,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.187687162652292],[91.81141529815157,26.187687162652292],[91.81141529815157,26.18858547793641],[91.81051698286745,26.18858547793641],[91.81051698286745,26.187687162652292]]]}"
+102203+29153,-0.2033878415818741,26.800278623959507,10.0,26.189034635409744,91.81096614037342,-0.06836055021759367,0.4891220290075527,0.7412447546962626,1,+102203+29153,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.18858547793641],[91.81141529815157,26.18858547793641],[91.81141529815157,26.189483793220532],[91.81051698286745,26.189483793220532],[91.81051698286745,26.18858547793641]]]}"
+102203+29154,-0.3059034666981957,25.243090054916216,50.0,26.189932950902627,91.81096614039079,-0.05917468807467759,0.4804098991922108,0.37989725087258325,1,+102203+29154,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.189483793220532],[91.81141529815157,26.189483793220532],[91.81141529815157,26.19038210850465],[91.81051698286745,26.19038210850465],[91.81051698286745,26.189483793220532]]]}"
+102203+29155,-0.22413856673102678,24.940561089622935,50.0,26.19083126621386,91.81096614040099,-0.03807351786416836,0.3770357874183789,0.12698537197537163,1,+102203+29155,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.19038210850465],[91.81141529815157,26.19038210850465],[91.81141529815157,26.19128042378877],[91.81051698286745,26.19128042378877],[91.81051698286745,26.19038210850465]]]}"
+102203+29156,-0.36366082675486305,25.773623089413416,10.0,26.19172958183603,91.81096614063041,-0.13076665384260477,0.5760624759986782,0.5767284991568297,1,+102203+29156,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.19128042378877],[91.81141529815157,26.19128042378877],[91.81141529815157,26.19217873907289],[91.81051698286745,26.19217873907289],[91.81051698286745,26.19128042378877]]]}"
+102203+29157,-0.21993777500937714,25.75194658897349,50.0,26.19262789682099,91.81096614062692,-0.04703644447605873,0.4307911027931977,0.2908741519275266,1,+102203+29157,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.19217873907289],[91.81141529815157,26.19217873907289],[91.81141529815157,26.19307705435701],[91.81051698286745,26.19307705435701],[91.81051698286745,26.19217873907289]]]}"
+102203+29158,-0.22713173654725705,25.98836949663164,10.0,26.19352621184623,91.81096614061623,-0.06870098683373042,0.45487241487808816,0.6304560963175027,1,+102203+29158,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.19307705435701],[91.81141529815157,26.19307705435701],[91.81141529815157,26.19397536964113],[91.81051698286745,26.19397536964113],[91.81051698286745,26.19307705435701]]]}"
+102203+29159,-0.18266725463043973,25.94975972270252,50.0,26.194424527140864,91.81096614082433,-0.0170095507405906,0.4076500919663337,0.1857327738342681,1,+102203+29159,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.19397536964113],[91.81141529815157,26.19397536964113],[91.81141529815157,26.19487368492525],[91.81051698286745,26.19487368492525],[91.81051698286745,26.19397536964113]]]}"
+102203+29160,-0.34407284112677144,25.469654417632693,10.0,26.195322843201993,91.81096614079951,-0.11280152307068603,0.5347624423862499,0.6557904231538492,1,+102203+29160,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.19487368492525],[91.81141529815157,26.19487368492525],[91.81141529815157,26.195772000209367],[91.81051698286745,26.195772000209367],[91.81051698286745,26.19487368492525]]]}"
+102203+29161,-0.4093550133865732,25.79542548984049,10.0,26.196221157903693,91.81096614054175,-0.15214682262916898,0.623313976946608,0.7021843993882112,1,+102203+29161,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.81051698286745,26.195772000209367],[91.81141529815157,26.195772000209367],[91.81141529815157,26.19667031549349],[91.81051698286745,26.19667031549349],[91.81051698286745,26.195772000209367]]]}"
