system:index,Heat_Risk,LST,NDVI,count,grid_id,.geo
+102147+29141,-0.01027536597104093,25.903594374011885,0.23196067840046156,1,+102147+29141,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.177805694526977],[91.76110964224088,26.177805694526977],[91.76110964224088,26.178704009811096],[91.76021132695676,26.178704009811096],[91.76021132695676,26.177805694526977]]]}"
+102147+29142,0.01164672024947069,26.708008195436474,0.2674967222817062,1,+102147+29142,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.178704009811096],[91.76110964224088,26.178704009811096],[91.76110964224088,26.179602325095217],[91.76021132695676,26.179602325095217],[91.76021132695676,26.178704009811096]]]}"
+102147+29143,0.22356574693395792,27.767398714532284,0.1312484469612046,1,+102147+29143,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.179602325095217],[91.76110964224088,26.179602325095217],[91.76110964224088,26.180500640379336],[91.76021132695676,26.180500640379336],[91.76021132695676,26.179602325095217]]]}"
+102147+29144,0.2873616340528781,28.063352181183664,0.0885920931745268,1,+102147+29144,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.180500640379336],[91.76110964224088,26.180500640379336],[91.76110964224088,26.181398955663454],[91.76021132695676,26.181398955663454],[91.76021132695676,26.180500640379336]]]}"
+102147+29145,0.29124748163675096,28.21318832014666,0.09540882694515382,1,+102147+29145,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.181398955663454],[91.76110964224088,26.181398955663454],[91.76110964224088,26.182297270947576],[91.76021132695676,26.182297270947576],[91.76021132695676,26.181398955663454]]]}"
+102147+29146,0.2929156444713129,28.441898735228442,0.1100771223307182,1,+102147+29146,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.182297270947576],[91.76110964224088,26.182297270947576],[91.76110964224088,26.183195586231694],[91.76021132695676,26.183195586231694],[91.76021132695676,26.182297270947576]]]}"
+102147+29147,0.27149376309249407,28.005142608386887,0.10030213750656983,1,+102147+29147,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.183195586231694],[91.76110964224088,26.183195586231694],[91.76110964224088,26.184093901515812],[91.76021132695676,26.184093901515812],[91.76021132695676,26.183195586231694]]]}"
+102147+29148,0.24867870279496151,27.571144770034913,0.09211735220753245,1,+102147+29148,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.184093901515812],[91.76110964224088,26.184093901515812],[91.76110964224088,26.184992216799934],[91.76021132695676,26.184992216799934],[91.76021132695676,26.184093901515812]]]}"
+102147+29149,0.2375768751093785,27.614755865239328,0.10633425812200183,1,+102147+29149,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.184992216799934],[91.76110964224088,26.184992216799934],[91.76110964224088,26.185890532084052],[91.76021132695676,26.185890532084052],[91.76021132695676,26.184992216799934]]]}"
+102147+29150,0.2628477884977266,27.930075656923904,0.10358618699683793,1,+102147+29150,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.185890532084052],[91.76110964224088,26.185890532084052],[91.76110964224088,26.186788847368174],[91.76021132695676,26.186788847368174],[91.76021132695676,26.185890532084052]]]}"
+102147+29151,0.25028875664585637,27.70112858578213,0.09979185662429671,1,+102147+29151,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.186788847368174],[91.76110964224088,26.186788847368174],[91.76110964224088,26.187687162652292],[91.76021132695676,26.187687162652292],[91.76021132695676,26.186788847368174]]]}"
+102147+29152,0.19334895321495713,27.368237679122586,0.13295373815094172,1,+102147+29152,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.76021132695676,26.187687162652292],[91.76110964224088,26.187687162652292],[91.76110964224088,26.18858547793641],[91.76021132695676,26.18858547793641],[91.76021132695676,26.187687162652292]]]}"
